municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,consistente,prop1,prop2,cnae_161001,cnae_1071600,cnae_1072402,cnae_2022300,cnae_2029100,cnae_2031200,cnae_2072000,cnae_2091600,cnae_2093200,total_cnaes
ABAETE,310020,Acrilamida,MG,9,5,0,4,0,0,0,1,0,0,0,0,0,0,51,0,0,0,0,51
ABELARDO LUZ,420010,Acrilamida,SC,19,0,1,16,2,0,2,1,0.10526315789473684,0,0,0,0,0,7,0,0,0,0,7
ACEGUA,430003,Acrilamida,RS,31,0,22,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ACREUNA,520013,Acrilamida,GO,2,2,0,0,0,0,0,0,NA,NA,4,3,0,0,0,0,0,0,0,7
ACUCENA,310050,Acrilamida,MG,6,1,0,0,5,0,5,1,1,0,0,1,0,0,3,0,0,0,0,4
ADAMANTINA,350010,Acrilamida,SP,41,10,8,21,2,0,2,1,0.06451612903225806,0,2,0,0,0,0,0,0,0,0,2
ADELANDIA,520015,Acrilamida,GO,1,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
ADOLFO,350020,Acrilamida,SP,17,7,4,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ADRIANOPOLIS,410020,Acrilamida,PR,24,1,15,7,1,0,1,1,0.043478260869565216,0,2,0,0,0,1,0,0,0,0,3
AGROLANDIA,420020,Acrilamida,SC,16,0,2,14,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2
AGUA BOA,310060,Acrilamida,MG,3,3,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
AGUA CLARA,500020,Acrilamida,MS,32,0,16,12,4,0,4,1,125,0,2,1,0,0,43,0,0,0,1,47
AGUA COMPRIDA,310070,Acrilamida,MG,2,0,1,0,1,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0
AGUA DOCE,420040,Acrilamida,SC,24,4,2,17,1,0,1,1,0.05,0,2,0,0,0,3,0,0,0,0,5
AGUA SANTA,430005,Acrilamida,RS,10,0,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
AGUAI,350030,Acrilamida,SP,14,0,6,8,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,5
AGUAS DA PRATA,350040,Acrilamida,SP,73,10,24,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AGUAS DE SANTA BARBARA,350055,Acrilamida,SP,15,0,5,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2
AGUAS DE SAO PEDRO,350060,Acrilamida,SP,20,2,8,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AGUAS FORMOSAS,310090,Acrilamida,MG,1,1,0,0,0,0,0,0,NA,NA,2,0,0,0,0,0,0,0,0,2
AGUAS FRIAS,420055,Acrilamida,SC,30,2,7,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AGUAS MORNAS,420060,Acrilamida,SC,14,0,2,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AGUDO,430010,Acrilamida,RS,26,1,11,14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
AGUDOS,350070,Acrilamida,SP,73,6,25,42,0,0,0,1,0,0,1,0,0,0,5,0,1,0,0,7
AGUDOS DO SUL,410030,Acrilamida,PR,25,0,12,7,6,0,6,1,0.24,0,0,0,0,0,0,0,0,0,0,0
AGUIA BRANCA,320013,Acrilamida,ES,4,1,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2
AGUIARNOPOLIS,170030,Acrilamida,TO,18,0,4,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AIQUARA,290060,Acrilamida,BA,7,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AJURICABA,430020,Acrilamida,RS,19,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALAMBARI,350075,Acrilamida,SP,119,2,45,71,1,0,1,1,0.008547008547008548,0,0,0,0,0,3,0,0,0,0,3
ALCINOPOLIS,500025,Acrilamida,MS,10,0,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALCOBACA,290080,Acrilamida,BA,1,1,0,0,0,0,0,0,NA,NA,0,0,0,0,2,0,0,0,0,2
ALECRIM,430030,Acrilamida,RS,25,2,11,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ALEGRETE,430040,Acrilamida,RS,156,0,152,3,1,0,1,1,0.00641025641025641,0,7,0,0,0,2,0,0,0,0,9
ALEXANIA,520030,Acrilamida,GO,2,2,0,0,0,0,0,0,NA,NA,1,3,0,0,0,0,0,0,0,4
ALFREDO MARCONDES,350080,Acrilamida,SP,23,1,5,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALFREDO VASCONCELOS,310163,Acrilamida,MG,3,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ALFREDO WAGNER,420070,Acrilamida,SC,18,0,2,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALMAS,170040,Acrilamida,TO,20,0,15,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ALMENARA,310170,Acrilamida,MG,3,0,0,0,3,0,3,1,1,0,1,0,0,0,0,0,0,0,0,1
ALMIRANTE TAMANDARE,410040,Acrilamida,PR,32,0,17,14,1,0,1,1,0.03125,0,0,0,0,0,0,0,0,0,1,1
ALPERCATA,310180,Acrilamida,MG,3,1,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
ALPESTRE,430050,Acrilamida,RS,7,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALTAIR,350090,Acrilamida,SP,29,0,12,17,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ALTAMIRA DO PARANA,410045,Acrilamida,PR,11,0,5,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALTEROSA,310200,Acrilamida,MG,2,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
ALTO ALEGRE,350110,Acrilamida,SP,29,0,6,15,8,0,8,1,0.27586206896551724,0,0,1,0,0,0,0,0,0,0,1
ALTO ALEGRE,430055,Acrilamida,RS,11,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALTO JEQUITIBA,315350,Acrilamida,MG,3,0,0,1,2,0,2,1,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0
ALTO PARAISO,412862,Acrilamida,PR,31,0,11,20,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2
ALTO PARAISO DE GOIAS,520060,Acrilamida,GO,2,1,0,1,0,0,0,1,0,0,1,1,0,0,5,0,0,0,0,7
ALTO PARANA,410060,Acrilamida,PR,30,0,12,18,0,0,0,1,0,0,4,0,0,0,2,0,0,0,1,7
ALTO PIQUIRI,410070,Acrilamida,PR,53,0,21,32,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ALTO RIO DOCE,310210,Acrilamida,MG,21,21,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
ALTONIA,410050,Acrilamida,PR,45,0,16,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALUMINIO,350115,Acrilamida,SP,65,0,28,33,4,0,4,1,0.06153846153846154,0,1,0,0,0,0,0,0,0,0,1
ALVARENGA,310220,Acrilamida,MG,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ALVARES MACHADO,350130,Acrilamida,SP,40,2,10,28,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3
ALVARO DE CARVALHO,350140,Acrilamida,SP,16,0,10,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALVINLANDIA,350150,Acrilamida,SP,17,6,7,2,2,0,2,1,0.18181818181818182,0,0,0,0,0,0,0,0,0,0,0
ALVORADA,430060,Acrilamida,RS,30,5,11,14,0,0,0,1,0,0,0,0,0,0,4,1,0,3,2,10
ALVORADA DE MINAS,310240,Acrilamida,MG,1,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
AMAMBAI,500060,Acrilamida,MS,6,0,6,0,0,0,0,1,0,0,4,1,0,0,2,0,0,0,0,7
AMAPORA,410090,Acrilamida,PR,15,0,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AMARAL FERRADOR,430063,Acrilamida,RS,8,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AMARGOSA,290100,Acrilamida,BA,7,1,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
AMETISTA DO SUL,430064,Acrilamida,RS,26,0,12,14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
AMPERE,410100,Acrilamida,PR,29,0,10,19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ANAHY,410105,Acrilamida,PR,16,0,6,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ANASTACIO,500070,Acrilamida,MS,14,0,6,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ANAURILANDIA,500080,Acrilamida,MS,27,0,11,16,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,4
ANCHIETA,420080,Acrilamida,SC,36,0,10,26,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3
ANDARAI,290130,Acrilamida,BA,6,1,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ANGATUBA,350220,Acrilamida,SP,58,4,25,27,2,0,2,1,0.037037037037037035,0,1,2,0,0,1,0,0,0,1,5
ANGELICA,500085,Acrilamida,MS,42,0,18,24,0,0,0,1,0,0,5,1,0,0,1,0,0,0,0,7
ANGELINA,420090,Acrilamida,SC,30,2,2,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ANGICAL,290140,Acrilamida,BA,4,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ANHEMBI,350230,Acrilamida,SP,76,26,21,29,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,3
ANHUMAS,350240,Acrilamida,SP,6,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ANITA GARIBALDI,420100,Acrilamida,SC,16,0,5,10,1,0,1,1,0.0625,0,0,0,0,0,1,0,0,0,0,1
ANTAS,290160,Acrilamida,BA,2,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
ANTONIO CARLOS,310290,Acrilamida,MG,26,22,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
ANTONIO CARLOS,420120,Acrilamida,SC,15,1,1,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ANTONIO DIAS,310300,Acrilamida,MG,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ANTONIO JOAO,500090,Acrilamida,MS,13,0,5,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ANTONIO OLINTO,410130,Acrilamida,PR,37,1,15,20,1,0,1,1,0.027777777777777776,0,0,0,0,0,1,0,0,0,0,1
ANTONIO PRADO,430080,Acrilamida,RS,92,0,92,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
APARECIDA D'OESTE,350260,Acrilamida,SP,25,6,7,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
APARECIDA DO TABOADO,500100,Acrilamida,MS,11,0,6,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2
APERIBE,330015,Acrilamida,RJ,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2
APIAI,350270,Acrilamida,SP,207,5,38,120,40,4,44,1,0.21782178217821782,0.019801980198019802,0,0,0,0,0,0,0,0,0,0
APUCARANA,410140,Acrilamida,PR,53,0,20,33,0,0,0,1,0,0,4,3,0,0,8,1,6,1,5,28
AQUIDAUANA,500110,Acrilamida,MS,52,0,41,11,0,0,0,1,0,0,2,4,0,0,1,0,0,0,0,7
ARACAI,310320,Acrilamida,MG,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARACAJU,280030,Acrilamida,SE,3,2,0,1,0,0,0,1,0,0,3,5,0,2,1,2,0,0,1,14
ARACARIGUAMA,350275,Acrilamida,SP,18,0,8,10,0,0,0,1,0,0,0,0,0,0,2,0,1,1,2,6
ARACATU,290200,Acrilamida,BA,1,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
ARACRUZ,320060,Acrilamida,ES,5,0,0,3,2,0,2,1,0.4,0,3,0,0,0,2,1,0,0,1,7
ARACU,520160,Acrilamida,GO,6,6,0,0,0,0,0,0,NA,NA,6,0,0,0,0,0,0,0,0,6
ARAGUAINA,170210,Acrilamida,TO,52,0,39,13,0,0,0,1,0,0,19,1,0,0,1,0,0,3,1,25
ARAGUANA,170215,Acrilamida,TO,9,0,8,0,1,0,1,1,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0
ARAL MOREIRA,500124,Acrilamida,MS,40,0,16,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARAMBARE,430085,Acrilamida,RS,10,0,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ARANDU,350310,Acrilamida,SP,27,5,6,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARAPEI,350315,Acrilamida,SP,31,0,12,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARAPOEMA,170230,Acrilamida,TO,4,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARAPONGA,310370,Acrilamida,MG,6,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARAPONGAS,410150,Acrilamida,PR,41,0,19,22,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,4
ARAPOTI,410160,Acrilamida,PR,63,1,23,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
ARAPUA,410165,Acrilamida,PR,13,0,6,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARAQUARI,420130,Acrilamida,SC,32,0,0,20,9,3,12,1,375,0.09375,1,0,0,0,3,6,0,0,2,12
ARARUAMA,330020,Acrilamida,RJ,42,2,18,18,4,0,4,1,0.1,0,1,0,0,0,2,1,0,0,1,5
ARARUNA,410170,Acrilamida,PR,33,0,15,17,1,0,1,1,0.030303030303030304,0,0,0,0,0,0,0,0,0,1,1
ARATACA,290225,Acrilamida,BA,8,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARATIBA,430090,Acrilamida,RS,31,0,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARAUCARIA,410180,Acrilamida,PR,45,0,15,26,4,0,4,1,0.08888888888888889,0,3,0,0,1,3,0,0,0,2,9
ARAXA,310400,Acrilamida,MG,3,1,0,2,0,0,0,1,0,0,11,1,0,0,0,0,0,1,0,13
ARCO-IRIS,350335,Acrilamida,SP,20,4,4,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARCOS,310420,Acrilamida,MG,23,10,2,0,11,0,11,1,0.8461538461538461,0,2,0,0,0,1,0,0,3,0,6
AREALVA,350340,Acrilamida,SP,100,9,24,67,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,6
AREIOPOLIS,350360,Acrilamida,SP,20,8,6,6,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,4
ARENOPOLIS,520235,Acrilamida,GO,3,3,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
ARIRANHA DO IVAI,410185,Acrilamida,PR,15,0,6,7,2,0,2,1,0.13333333333333333,0,0,0,0,0,0,0,0,0,0,0
ARMAZEM,420150,Acrilamida,SC,57,0,10,39,8,0,8,1,0.14035087719298245,0,0,0,0,0,0,0,0,0,0,0
ARRAIAS,170240,Acrilamida,TO,4,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARROIO DO MEIO,430100,Acrilamida,RS,53,1,50,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2
ARROIO DO TIGRE,430120,Acrilamida,RS,45,0,45,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2
ARROIO DOS RATOS,430110,Acrilamida,RS,31,0,23,8,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2
ARROIO GRANDE,430130,Acrilamida,RS,44,0,25,19,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,10
ARROIO TRINTA,420160,Acrilamida,SC,18,2,5,10,1,0,1,1,0.0625,0,1,0,0,0,0,0,0,0,0,1
ARVOREZINHA,430140,Acrilamida,RS,84,0,84,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ASCURRA,420170,Acrilamida,SC,20,0,4,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
ASPASIA,350395,Acrilamida,SP,21,6,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ASSAI,410190,Acrilamida,PR,26,0,11,15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
ASSIS,350400,Acrilamida,SP,23,0,10,13,0,0,0,1,0,0,10,4,0,0,1,0,0,0,0,15
ASSIS CHATEAUBRIAND,410200,Acrilamida,PR,132,0,42,90,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
ASTORGA,410210,Acrilamida,PR,75,8,27,7,33,0,33,1,0.4925373134328358,0,1,0,0,0,1,0,0,0,0,2
ATALAIA,410220,Acrilamida,PR,13,0,5,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ATALANTA,420180,Acrilamida,SC,19,0,5,14,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3
AUGUSTINOPOLIS,170255,Acrilamida,TO,21,0,6,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AUGUSTO DE LIMA,310480,Acrilamida,MG,7,3,0,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2
AUREA,430155,Acrilamida,RS,25,1,12,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AURIFLAMA,350420,Acrilamida,SP,14,0,6,8,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2
AVAI,350430,Acrilamida,SP,30,14,4,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AVARE,350450,Acrilamida,SP,82,16,18,46,2,0,2,1,0.030303030303030304,0,3,1,0,0,2,1,0,0,1,8
BABACULANDIA,170300,Acrilamida,TO,4,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BALBINOS,350470,Acrilamida,SP,19,1,4,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BALDIM,310500,Acrilamida,MG,2,2,0,0,0,0,0,0,NA,NA,0,0,0,0,5,0,0,0,0,5
BALNEARIO BARRA DO SUL,420205,Acrilamida,SC,12,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BALNEARIO PICARRAS,421280,Acrilamida,SC,35,0,2,25,8,0,8,1,0.22857142857142856,0,1,0,0,0,0,0,0,0,0,1
BALNEARIO PINHAL,430163,Acrilamida,RS,31,0,31,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
BALSA NOVA,410230,Acrilamida,PR,88,0,32,54,0,2,2,1,0.022727272727272728,0.022727272727272728,1,1,0,0,0,0,0,1,0,3
BANANAL,350490,Acrilamida,SP,36,6,13,14,2,1,3,1,0.1,0.03333333333333333,0,0,0,0,0,0,0,0,0,0
BANDEIRANTE,420208,Acrilamida,SC,22,2,5,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BANZAE,290265,Acrilamida,BA,1,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
BARAO,430165,Acrilamida,RS,8,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
BARAO DE ANTONINA,350500,Acrilamida,SP,23,5,5,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BARAO DE COTEGIPE,430170,Acrilamida,RS,41,0,41,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
BARAO DO TRIUNFO,430175,Acrilamida,RS,10,0,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
BARBACENA,310560,Acrilamida,MG,4,4,0,0,0,0,0,0,NA,NA,3,0,0,0,1,0,0,0,0,4
BARBOSA FERRAZ,410250,Acrilamida,PR,66,1,27,36,2,0,2,1,0.03076923076923077,0,0,0,0,0,0,0,0,0,0,0
BARRA BONITA,420209,Acrilamida,SC,24,1,8,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BARRA DO CHAPEU,350535,Acrilamida,SP,35,3,14,18,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
BARRA DO CHOCA,290290,Acrilamida,BA,4,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2
BARRA DO GUARITA,430185,Acrilamida,RS,16,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BARRA DO JACARE,410270,Acrilamida,PR,16,0,6,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
BARRA DO QUARAI,430187,Acrilamida,RS,22,0,19,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BARRA DO RIBEIRO,430190,Acrilamida,RS,45,1,35,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BARRA DO ROCHA,290310,Acrilamida,BA,6,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BARRA DO TURVO,350540,Acrilamida,SP,15,0,6,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
BARRA LONGA,310570,Acrilamida,MG,3,0,0,1,2,0,2,1,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,1
BARRA VELHA,420210,Acrilamida,SC,16,0,1,15,0,0,0,1,0,0,3,0,0,1,1,0,0,0,0,5
BARRACAO,430180,Acrilamida,RS,23,0,23,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
BARREIRAS,290320,Acrilamida,BA,6,1,0,5,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,8
BARRO ALTO,520320,Acrilamida,GO,2,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2
BARROS CASSAL,430200,Acrilamida,RS,42,0,29,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BARROSO,310590,Acrilamida,MG,3,3,0,0,0,0,0,0,NA,NA,1,0,0,0,1,0,0,0,0,2
BARUERI,350570,Acrilamida,SP,19,0,7,12,0,0,0,1,0,0,4,1,0,0,4,3,2,1,21,36
BASTOS,350580,Acrilamida,SP,42,10,10,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BATAGUASSU,500190,Acrilamida,MS,41,0,18,14,9,0,9,1,0.21951219512195122,0,1,0,0,0,4,0,0,0,0,5
BATAYPORA,500200,Acrilamida,MS,14,0,6,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BELA VISTA DA CAROBA,410275,Acrilamida,PR,15,0,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BELA VISTA DO PARAISO,410280,Acrilamida,PR,29,1,12,16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
BELA VISTA DO TOLDO,420213,Acrilamida,SC,44,0,16,28,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
BELMONTE,290340,Acrilamida,BA,2,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
BELO HORIZONTE,310620,Acrilamida,MG,18,8,0,0,10,0,10,1,1,0,26,9,0,1,16,6,4,13,15,90
BELO ORIENTE,310630,Acrilamida,MG,7,2,0,5,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3
BELO VALE,310640,Acrilamida,MG,12,7,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BENEDITO NOVO,420220,Acrilamida,SC,47,0,3,40,4,0,4,1,0.0851063829787234,0,1,0,0,0,1,0,0,0,0,2
BENTO DE ABREU,350620,Acrilamida,SP,16,4,5,7,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2
BENTO GONCALVES,430210,Acrilamida,RS,42,5,23,14,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,8
BERIZAL,310665,Acrilamida,MG,2,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
BERNARDINO DE CAMPOS,350630,Acrilamida,SP,18,0,5,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BERTIOGA,350635,Acrilamida,SP,80,0,31,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BETIM,310670,Acrilamida,MG,6,2,0,4,0,0,0,1,0,0,8,0,0,6,3,1,1,2,3,24
BIGUACU,420230,Acrilamida,SC,12,0,2,10,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,3
BIRITIBA-MIRIM,350660,Acrilamida,SP,60,10,19,30,1,0,1,1,0.02,0,1,0,0,0,0,0,0,0,0,1
BITURUNA,410290,Acrilamida,PR,40,1,15,24,0,0,0,1,0,0,3,0,0,0,13,0,0,0,0,16
BOA ESPERANCA,410300,Acrilamida,PR,24,0,12,12,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3
BOA ESPERANCA DO IGUACU,410302,Acrilamida,PR,15,0,5,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
BOA VISTA,140010,Acrilamida,RR,2,1,1,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0,0,12
BOA VISTA DA APARECIDA,410305,Acrilamida,PR,30,0,12,18,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
BOA VISTA DO BURICA,430220,Acrilamida,RS,10,0,8,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
BOCAINA,350680,Acrilamida,SP,67,7,24,35,1,0,1,1,0.016666666666666666,0,0,2,0,0,1,0,0,0,0,3
BOCAINA DO SUL,420243,Acrilamida,SC,22,0,2,16,4,0,4,1,0.18181818181818182,0,0,0,0,0,0,0,0,0,0,0
BOCAIUVA DO SUL,410310,Acrilamida,PR,14,0,6,1,7,0,7,1,0.5,0,0,0,0,0,1,0,0,0,0,1
BODOQUENA,500215,Acrilamida,MS,21,0,16,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BOFETE,350690,Acrilamida,SP,70,16,20,34,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
BOITUVA,350700,Acrilamida,SP,20,0,7,11,2,0,2,1,0.1,0,2,0,0,0,1,0,0,1,1,5
BOM JARDIM,330050,Acrilamida,RJ,6,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BOM JARDIM DA SERRA,420250,Acrilamida,SC,30,0,2,21,7,0,7,1,0.23333333333333334,0,0,0,0,0,0,0,0,0,0,0
BOM JARDIM DE MINAS,310750,Acrilamida,MG,1,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
BOM JESUS,420253,Acrilamida,SC,17,2,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BOM JESUS,430230,Acrilamida,RS,37,0,25,11,1,0,1,1,0.02702702702702703,0,3,0,0,0,1,0,0,0,0,4
BOM JESUS DO OESTE,420257,Acrilamida,SC,20,1,9,9,1,0,1,1,0.05263157894736842,0,0,1,0,0,0,0,0,0,0,1
